fecha;activo;Resultado;Ratio;Temporalidad;Hora de entrada;Rango;AVG;detalle de la operacion;mejoras;Foto
15/1/2025;EURUSD;Ganada;2/1;5m;02:35;0,00097;0,001926;Una operación muy dificil, hay un minimo cerca del cual toma liquidez y luego sigue bajando, en 5 m da la entrada correcta por la ema, si se cambia a 1m daba 2 entradas que fueron a SL. ;Viendo la entrada, al parecer la unica manera de no comer un amague era esperando que pase el true opening day, pero eso me dejaba una operación muy corta con un SL largo. Adjunto tambien grafico de 1m para su estudio.;17
16/1/2025;NQ1!;No dio entrada;none;5m;;46,5;80,35;No da entrada en 5m ya que no hay un cambio de estructura, en 1m hubiera dado entrada por Wycoff despues de un amague con una vela con mucho volumen.;;18
16/1/2025;EURUSD;Ganada;2,5/1;5m;01:15;0,00151;0,00191;Entro por PO3 sin la confirmacion del cambio de estructura en 5m pero si utilizando el criterio de la EMA;Estudiar los porcentajes de entrar o no con las confirmaciones de EMA y cambio de estructura.;19
17/1/2025;NQ1!;No dio entrada;none;5m;;69;70,1;No da entrada, el precio apenas amaga y no llega al final del rango;En 5m se mete el precio y baja de la EMA, tengo que realizar el backtest para ver los RR si conviene entrar al minimo amague. En este caso conservadoramente da los 22,5 puntos para el fondeo pero no llega el precio al piso del rango;20
17/1/2025;EURUSD;Ganada;1,7/1;5m;03:25;0,00176;0,00204;Entro en PO3 en 5m luego de una manipulacion.;El precio toca milimetricamente el TP y se gira. Luego de eso toma minimos de la secion de NY anterior y se da vuelta, empezar a analizar estas tomas despues de Asia;21
20/1/2025;NQ1!;No dio entrada;none;5m;;36,75;48,75;No dio entrada;;22
20/1/2025;EURUSD;No dio entrada;none;5m;;0,0028;0,001746;En 5 minutos hace varios amagues pero no entro porque no perfora el rango con intencion y no supera contundentemente la EMA.;;23
21/1/2025;NQ1!;No dio entrada;;5m;;270;91,75;;;24
21/1/2025;EURUSD;Ganada;;5m;05:35;;;Entrada PO3;Dio entrada fuera del horario operativo de Londres;25
22/1/2025;NQ1!;Perdida;2,31/1;5m;05:10;65,25;97,5;Entrada PO3, con la particularidad que el precio se mete fuera del horario de Londres.;Estudiar los horarios de entrada.;26
22/1/2025;EURUSD;Ganada;1/1;5m;02:00;0,00173;0,002468;Entrada en PO3, como el precio avanzo rapido cuando se metio en rango me dejo un poco alta la entrada. Modifique el TP para poder tener un RR de 1 a 1 yendo a buscar unos puntos mas arriba del rango.;;27
23/1/2025;NQ1!;Ganada;2,6/1;5m;00:25;41;96,4;Entrada PO3 sin observaciones;;28
23/1/2025;EURUSD;Ganada;1,2/1;5m;02:50;0,00191;none;Entrada PO3 sin observaciones;;29
24/1/2025;NQ1!;;;;;none;none;;;30
24/1/2025;EURUSD;Perdida;1,9/1;5m;02:05;0,00424;0,003044;Entrada PO3 sin observaciones, el precio se mete en rango a la baja , se pone debao de la media movil y abro entrada;En este caso el precio no supera el True open day. Ni bien entro el precio se gira y va derecho al SL. Para revisar, cuando el precio se queda en la parte alta del rango sin bajar y luego va para arriba siguiendo la tendencia.;31
17/2/2025;NQ1!;No dio entrada;;5m;;62,5;57,7;No da entrada, el precio entra en un rango muy corto en la parte superior, este tipo de comportamiento es el que me dice que no hay que entrar. En este caso lo esta confirmando.;;1
17/2/2025;EURUSD;Perdida;2,5/1;5m;01:25;0,00171;0,002104;Tipo de entrada PO3.;El precio toca el True open Day y se da vuelta, en este caso de haber esperado no hubiera dado entrada;2
18/2/2025;NQ1!;No dio entrada;;5m;;37,25;52,65;El precio rompe rango de Asia pero apenas con una mecha, espero una ruptura mas contundente. El precio se gira al alza y se escapa. En este caso gracias a esperar no salto el SL.;;3
18/2/2025;EURUSD;Ganada;2 /1;5m;01:00;0,00204;0,002258;Tipo de entrada PO3.;;4
19/2/2025;NQ1!;Perdida;1,8/1;5m;01:00;29,25;47,55;Tipo de entrada PO3.;Analizando la entrada no hay posibilidad de mejora, es de las que cae en perdida. Solo analizar la relacion de ganadas y perdidas con respecto al tamaño del rango.;5
19/2/2025;EURUSD;Ganada;1,4/1;5m;02:20;0,00122;0,002224;Tipo de entrada PO3.;Para estudiar, en este caso la manipulacion queda mas arriba que la apertura de londres, se podria bajar el SL a la apertura ya que si el precio retrocede a esa zona invalida la hipotesis de la entrada.;6
20/2/2025;NQ1!;Ganada;2/1;5m;02:25;72,5;50,9;Tipo de entrada PO3.;Al reducir el TP a un 2 a 1 en este caso fue positivo ya que se giro antes de tocar el rango superior de Asia.;7
20/2/2025;EURUSD;No dio entrada;;5m;;0,00191;0,001638;;Al tener el High de NY del dia anterior tan cerca espero que perfore ese Maximo, lo hace solo con una mecha por lo cual prefiero esperar y no entrar. En este caso si entraba hubiera sido perdida.;8
21/2/2025;NQ1!;Ganada;2/1;5m;00:15;39;48,1;;Esta entrada es milimetrica con las reglas de no ir mas de 2 a 1 y de entrar arriba de la EMA o True Open Day.;9
21/2/2025;EURUSD;No dio entrada;;;;0,00205;0,001786;;El precio no se sube a la media y gracias a ello no hubo perdida.;10
24/2/2025;NQ1!;Ganada;2/1;5m;01:35;63,5;48,3;Entrada PO3,entro cuando el precio perfora la EMA y muestra un cambio de tendencia.;;11
24/2/2025;EURUSD;No dio entrada;;;;0,0026;0,001964;;;12
25/2/2025;NQ1!;No dio entrada;;5m;;56,5;52,15;El precio rompe y se mete, pero con movimientos muy fuertes y el contexto de fondo es muy bajista. Decido no estrar y en este caso fue lo correcto.;Al ser movimientos tan fuertes no hay un cambio de tendencia con sus correcciones, estos movimientos fuertes es preferible no entrar contra tendencia.;13
25/2/2025;EURUSD;Ganada;2/1;5m;01:45;0,00165;0,001886;Entrada PO3, en este caso el precio fue a buscar el piso del rango.;Cuando rompe el piso de Asia da otra entrada PO3 y va a buscar el High de Londres.;14
26/2/2025;NQ1!;Perdida;2/1;5m;01:45;67;59,7;El precio parece hacer un cambio de tendencia pero se da la vuelta ni bien entrar.;Analizar de la posibilidad de sumar que la EMA tiene que ingresar al rango.;15
26/2/2025;EURUSD;Ganada;2/1;5m;02:00;0,00268;0,002178;En esta caso se da la entrada P03 pero Londres hace un minimo que me permite acortar el SL. Modifico la operación reduciendo la cantidad de puntos. Si bien fue un 2 a 1 en relacion el lotaje de entrada que delimita la ganancia es inferior.;;16
27/2/2025;NQ1!;No dio entrada;;;;108;66,8;;;17
27/2/2025;EURUSD;No dio entrada;;;;0,00244;0,002284;;;18
28/2/2025;NQ1!;;;none;;152,25;89,45;;No da entrada por el horario, despues de la 4 am no se opera;19
28/2/2025;EURUSD;No dio entrada;none;none;;0,00242;0,002358;;No da entrada por el horario, despues de la 4 am no se opera;20
2/3/2025;NQ1!;No dio entrada;;5m;;97,75;;El precio rompe el rango superior y se va muy arriba, para aguardar la confirmacion por EMA Cambio de tendencia el SL me queda alto y no me da una relacion 2 a 1 para entrar.;;1
2/3/2025;EURUSD;No dio entrada;;5m;;0,00161;;En este caso el precio tiene un GAP al alza y comienza a hacer un rango muy marcado desde antes de Asia, por lo tanto en este caso deberia  considerarse ampliar el rango del PO3 para poder entrar.;Estudia bien los rangos anteriores para el PO3.;2
3/3/2025;NQ1!;Ganada;;5m;01:30;103,95;;El precio rompe la parte superior con una vela muy grande y se mete casi hasta la parte inferior del rango. Veo que hay volatilidad asi que elijo entrar luego de 2 confirmaciones, por tendencia y por EMA. El RR 2 a 1 me queda fuera del rango de Asia pero lo opero igual.;En este caso no tengo un cambio de tendencia marcada, el precio deja de ser alcista para ponerse lateral sin superar la parte inferior de donde rompio formando un triple techo.;3
3/3/2025;EURUSD;No dio entrada;;5m;;;;Al ampliar el rango a la zona anterior el precio no se mete y me salva de un SL;Este ejemplo es bueno de ver ya que el aguardar confirmacion de tendencia o de rango hace que no me salte un SL.;4
4/3/2025;NQ1!;Perdida;;5m;03:45;127,25;118,3;En esta entrada me movi de 2 reglas. Eran las 3:45 y aparte el grafico habia formado un segundo rango en la parte superior del rango de asia.;Este ejemplo me sirve para aprender a no tomar estas entradas.;5
4/3/2025;EURUSD;No dio entrada;;5m;;0,00257;0,002302;No dio entrada, el precio se mete pero sale a la siguiente vela. No entre porque la EMA no tiene el sentido para atacar el rango y no hay un cambio de estructura.;;6
6/3/2025;NQ1!;No dio entrada;;5m;;63,75;109,45;;;7
6/3/2025;EURUSD;No dio entrada;;5m;;0,00361;0,002536;;;8
7/3/2025;NQ1!;Ganada;0,8/1;5m;02:25;64;91,8;Entrada PO3, el precio toca el alto del rango pero no continua al RR de 2 a 1. A medida que el tiempo llega al limite del rango operativo elijo salir en 0,8 a 1.;Si me hubiera mantenido dentro de la operación hubiera saltado el SL.;9
7/3/2025;EURUSD;No dio entrada;;5m;;0,00336;0,002724;El precio rompe la parte superior per hay un punto de liquidez muy cerca el cual espero a que tome, el precio se mete al rango posicionandose por debajo de la EMA pero inmediatamente se da la vuelta para entrar al alza.;Esta regla de entrada ayudo a que no me saltara SL en este caso. Hay que observar tambien que la EMA tiene pendiente al alza sin dar quiebre, por lo tanto tampoco hay un cambio de estructura.;10
10/3/2025;NQ1!;No dio entrada;;5m;;149,5;101,85;;;11
10/3/2025;EURUSD;Ganada;2/1;5m;05:20;0,0041;0,003224;Da entrada fuera de rango operativo y por segunda liquidez;;12
11/3/2025;NQ1!;No dio entrada;;5m;;355,75;152,5;;;13
11/3/2025;EURUSD;Ganada;2/1;5m;02:15;0,00215;0,003158;;;14
12/3/2025;NQ1!;Ganada;2/1;5m;03:40;64,25;139,45;;;15
12/3/2025;EURUSD;Ganada;2/1;5m;03:35;0,00195;0,003034;Espero a que tome una segunda liquidez que esta muy proxima al rango de Asia. El precio toma esa liquidez y se va en sentido proyectado.;;16
13/3/2025;NQ1!;No dio entrada;;;;;;;;17
13/3/2025;EURUSD;Perdida;2/1;5m;;0,00196;;Perdida de estadistica;;18
14/3/2025;NQ1!;No dio entrada;;;;125;175,7;;;19
14/3/2025;EURUSD;Ganada;2/1;5m;03:55;0,00244;0,00242;;;20
17/3/2025;NQ1!;Ganada;2/1;5m;03:25;63,25;;;;21
17/3/2025;EURUSD;Ganada;2/1;5m;04:05;0,00159;;Fuera del horario operativo;;22
18/3/2025;NQ1!;Ganada;2/1;5m;01:45;102,5;107,95;;;23
18/3/2025;EURUSD;Ganada;2/1;5m;02:45;0,00148;0,001786;;;24
19/3/2025;NQ1!;No dio entrada;;;;91,25;112,35;;;25
19/3/2025;EURUSD;Perdida;2/1;5m;01:00;0,00132;0,00166;;;26
20/3/2025;NQ1!;No dio entrada;;;;68,25;81,45;;;27
20/3/2025;EURUSD;No dio entrada;;;;0,00138;;;;28
21/3/2025;NQ1!;Perdida;2/1;5m;02:35;68;;;;29
21/3/2025;EURUSD;No dio entrada;;;;0,00254;0,001664;;;30
24/3/2025;NQ1!;No dio entrada;;;;;;;;31
24/3/2025;EURUSD;Ganada;2/1;5m;00:55;;;;;32
25/3/2025;NQ1!;No dio entrada;;;;;;;;33
25/3/2025;EURUSD;No dio entrada;;;;0,00144;;;;34
26/3/2025;NQ1!;Perdida;2/1;5m;02:50;67,5;60,75;;;35
26/3/2025;EURUSD;No dio entrada;;;;0,00191;0,001854;;;36
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
